,OPE ID,School,State_x,Zip Code,School Type,FEDERAL WORK Recipients,FEDERAL WORK $ Federal Award, FEDERAL WORK Disbursements,PERKINS LOAN Recipients,PERKINS LOAN $ Federal Award,PERKINS LOAN Disbursements,FEDERAL SUPPLEMENTAL Recipients,FEDERAL SUPPLEMENTAL $ Federal Award,FEDERAL SUPPLEMENTAL Disbursements,State_y,Region,CITY,STABBR,COSTT4_A
0,884300,alaska bible college,AK,99588-0000     ,Private/Non-Profit,10,5000,6933,0,0,0,17,5000,6400,AK,Northern,Palmer,AK,10730.0
1,4138600,alaska christian college,AK,99669-9755     ,Private/Non-Profit,8,5000,5000,0,0,0,10,5000,5000,AK,Anchorage,Soldotna,AK,15994.0
2,106100,alaska pacific university,AK,99508-4672     ,Private/Non-Profit,39,45110,52175,0,0,0,88,34279,43306,AK,South Central,Anchorage,AK,40883.0
3,2576900,charter college,AK,99508-4103     ,Proprietary,86,200000,188703,0,0,0,1093,306747,487503,WA,Region 3,Vancouver,WA,23557.0
4,3461300,ilisagvik college,AK,99723-0749     ,Public,11,27453,23200,0,0,0,27,22224,25165,AK,Anchorage,Barrow,AK,11902.0
5,1146200,university of alaska anchorage,AK,99508-8050     ,Public,96,327371,249876,0,0,0,1006,335397,522955,AK,South Central,Anchorage,AK,14431.0
6,106300,university of alaska fairbanks,AK,99775-7500     ,Public,70,348116,473049,0,0,0,684,250843,298935,AK,South Central,Fairbanks,AK,15568.0
7,106500,university of alaska southeast,AK,99801-8680     ,Public,21,38641,26777,0,0,0,105,25032,32914,AK,Southeast,Juneau,AK,14267.0
9,103400,alabama southern community college,AL,36460-5698     ,Public,26,46607,42441,0,0,0,80,40879,40879,AL,Region 1,Monroeville,AL,10630.0
10,100500,alabama state university,AL,36104-5714     ,Public,794,1505028,1264046,81,0,220100,301,305123,375700,AL,Region 3,Normal,AL,17351.0
10,100500,alabama state university,AL,36104-5714     ,Public,794,1505028,1264046,81,0,220100,301,305123,375700,AL,Region 3,Montgomery,AL,17533.0
11,2503400,amridge university,AL,36117-3553     ,Private/Non-Profit,0,2463,0,0,0,0,115,10867,10857,AL,Region 2,Montgomery,AL,11420.0
13,100900,auburn university,AL,36849-5113     ,Public,229,891895,763935,822,0,1533045,585,401139,531534,AL,Region 3,Auburn,AL,22352.0
14,831000,auburn university montgomery,AL,36117-3596     ,Public,63,175052,130411,157,0,345832,219,112162,150162,AL,Region 4,Montgomery,AL,15594.0
14,831000,auburn university montgomery,AL,36117-3596     ,Public,63,175052,130411,157,0,345832,219,112162,150162,AL,Region 4,Montgomery,AL,28156.0
15,573300,bevill state community college,AL,35148-0000     ,Public,73,141990,142308,0,0,0,252,128918,123218,AL,Region 4,Jasper,AL,13965.0
17,103000,bishop state community college,AL,36603-5898     ,Public,90,208214,175162,0,0,0,188,107494,101519,AL,Region 4,Mobile,AL,9987.0
20,100700,central alabama community college,AL,35010-0000     ,Public,21,70000,48758,0,0,0,160,80000,80000,AL,Region 2,Alexander City,AL,6726.0
20,100700,central alabama community college,AL,35010-0000     ,Public,21,70000,48758,0,0,0,160,80000,80000,AL,Region 2,Bay Minette,AL,11195.0
21,1218200,chattahoochee valley community college,AL,36869-7917     ,Public,33,70608,77515,0,0,0,71,37051,38700,AL,Region 4,Phenix City,AL,6740.0
22,4121500,columbia southern university,AL,36561-3815     ,Proprietary,0,0,0,0,0,0,793,270000,360000,AL,Region 3,Orange Beach,AL,13333.0
23,1055400,concordia college alabama,AL,36701-3323     ,Private/Non-Profit,72,41374,31031,0,0,0,67,41781,52124,AL,Region 4,Selma,AL,17730.0
24,101500,enterprise state community college,AL,36331-1300     ,Public,51,103742,99752,0,0,0,97,60000,60000,AL,Region 4,Enterprise,AL,9988.0
25,100300,faulkner university,AL,36109-3398     ,Private/Non-Profit,237,325000,313660,21,0,70915,288,212205,213052,AL,Region 3,Montgomery,AL,26908.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,AL,Region 2,Mobile,AL,14388.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,AL,Region 2,Montgomery,AL,22500.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,AL,Region 3,Mobile,AL,14388.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,AL,Region 3,Montgomery,AL,22500.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,FL,Circuit 10,Winter Park,FL,29141.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,FL,Circuit 10,Tampa,FL,30524.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,FL,Circuit 10,Miami,FL,17242.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,FL,Circuit 10,Orange Park,FL,23984.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,FL,Circuit 10,Largo,FL,6266.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,FL,Circuit 1,Winter Park,FL,29141.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,FL,Circuit 1,Tampa,FL,30524.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,FL,Circuit 1,Miami,FL,17242.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,FL,Circuit 1,Orange Park,FL,23984.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,FL,Circuit 1,Largo,FL,6266.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,LA,Regions 2 and 9,Baton Rouge,LA,26599.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,OH,"Boards 2, 46, 55, and 68",Ravenna,OH,26330.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,OH,"Boards 2, 46, 55, and 68",Cuyahoga Falls,OH,25988.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,OH,"Boards 2, 46, 55, and 68",Centerville,OH,25246.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,OH,"Boards 2, 46, 55, and 68",Westerville,OH,21238.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,OH,"Boards 2, 46, 55, and 68",Cincinnati,OH,29521.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,OH,Boards 23 and 45,Ravenna,OH,26330.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,OH,Boards 23 and 45,Cuyahoga Falls,OH,25988.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,OH,Boards 23 and 45,Centerville,OH,25246.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,OH,Boards 23 and 45,Westerville,OH,21238.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,OH,Boards 23 and 45,Cincinnati,OH,29521.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,VA,Region 5,Norfolk,VA,41826.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,VA,Region 5,Richmond,VA,22749.0
27,3361400,fortis college,AL,36535-0000     ,Proprietary,17,29642,28326,0,0,0,114,19533,32528,AL,Region 2,Mobile,AL,14388.0
27,3361400,fortis college,AL,36535-0000     ,Proprietary,17,29642,28326,0,0,0,114,19533,32528,AL,Region 2,Montgomery,AL,22500.0
