,OPE ID,School,State_x,Zip Code,School Type,FEDERAL WORK Recipients,FEDERAL WORK $ Federal Award,FEDERAL WORK Disbursements,PERKINS LOAN Recipients,PERKINS LOAN $ Federal Award,PERKINS LOAN Disbursements,FEDERAL SUPPLEMENTAL Recipients,FEDERAL SUPPLEMENTAL $ Federal Award,FEDERAL SUPPLEMENTAL Disbursements,State_y,Region,CITY,STABBR,COSTT4_A
0,884300,alaska bible college,AK,  99645-6619    ,Private/Non-Profit,5,5000,6191,0,0,0,9,5000,6575,AK,Northern,Palmer,AK,15990
1,4138600,alaska christian college,AK,996699755,Private/Non-Profit,10,5000,6667,0,0,0,9,5000,6667,AK,Anchorage,Soldotna,AK,18094
2,106100,alaska pacific university,AK,995084672,Private/Non-Profit,18,35837,47197,0,0,0,44,27080,39150,AK,South Central,Anchorage,AK,42640
3,3461300,ilisagvik college,AK,997230749,Public,6,27453,12729,0,0,0,19,22224,29084,AK,Anchorage,Barrow,AK,13676
4,1146200,university of alaska anchorage,AK,995088050,Public,99,351907,319752,0,0,0,527,344615,511671,AK,South Central,Anchorage,AK,13610
5,106300,university of alaska fairbanks,AK,997757500,Public,51,348116,330709,0,0,0,524,250843,394296,AK,South Central,Fairbanks,AK,15340
6,106500,university of alaska southeast,AK,998018680,Public,40,35192,70384,0,0,0,57,26956,26719,AK,Southeast,Juneau,AK,15284
8,103400,alabama southern community college,AL,364605698,Public,30,38897,37226,0,0,0,84,38677,36654,AL,Region 1,Monroeville,AL,10708
9,100500,alabama state university,AL,361045714,Public,878,1240426,1105514,279,0,663244,330,338537,338537,AL,Region 3,Normal,AL,21475
9,100500,alabama state university,AL,361045714,Public,878,1240426,1105514,279,0,663244,330,338537,338537,AL,Region 3,Montgomery,AL,18184
10,2503400,amridge university,AL,361173553,Private/Non-Profit,0,2969,0,0,0,0,75,7834,7146,AL,Region 2,Montgomery,AL,16370
12,100900,auburn university,AL,368495113,Public,206,900000,598534,979,0,2429374,744,380091,702728,AL,Region 3,Auburn,AL,25282
13,831000,auburn university montgomery,AL,361173596,Public,73,186845,158054,154,0,432596,279,128874,233713,AL,Region 4,Montgomery,AL,17903
13,831000,auburn university montgomery,AL,361173596,Public,73,186845,158054,154,0,432596,279,128874,233713,AL,Region 4,Montgomery,AL,27870
14,573300,bevill state community college,AL,351480000,Public,43,105721,96282,0,0,0,203,100458,110197,AL,Region 4,Jasper,AL,13084
15,101200,birmingham-southern college,AL,352540002,Private/Non-Profit,220,167771,227025,231,0,454135,109,108094,135333,AL,Region 1,Birmingham,AL,45162
16,103000,bishop state community college,AL,366035898,Public,102,208214,156375,0,0,0,289,128259,155997,AL,Region 4,Mobile,AL,9955
19,100700,central alabama community college,AL,350100000,Public,17,61033,48748,0,0,0,146,61233,72933,AL,Region 2,Alexander City,AL,12054
