college,State,region
Alaska Pacific University,AK,South Central
University of Alaska Fairbanks,AK,South Central
University of Alaska Southeast,AK,Southeast
Alaska Bible College,AK,Northern
University of Alaska Anchorage,AK,South Central
Ilisagvik College,AK,Anchorage
Alaska Christian College,AK,Anchorage
Alabama Agricultural & Mechanical University,AL,Region 1
Faulkner University,AL,Region 3
University of Montevallo,AL,Region 2
Alabama State University,AL,Region 3
Central Alabama Community College,AL,Region 2
Athens State University,AL,Region 1
Auburn University,AL,Region 3
Birmingham-Southern College,AL,Region 1
Calhoun Community College,AL,Region 1
Enterprise State Community College,AL,Region 4
University of North Alabama,AL,Region 1
Gadsden State Community College,AL,Region 1
George C. Wallace Community College,AL,Region 1
Huntingdon College,AL,Region 1
Jacksonville State University,AL,Region 1
Jefferson Davis Community College,AL,Region 2
Jefferson State Community College,AL,Region 2
Judson College,AL,Region 3
University of West Alabama,AL,Region 3
Marion Military Institute,AL,Region 3
Miles College,AL,Region 2
University of Mobile,AL,Region 4
Bishop State Community College,AL,Region 4
Northeast Alabama Community College,AL,Region 4
Oakwood University,AL,Region 1
Alabama Southern Community College,AL,Region 1
Samford University,AL,Region 2
Snead State Community College,AL,Region 4
Southern Union State Community College,AL,Region 4
Spring Hill College,AL,Region 2
Stillman College,AL,Region 2
Talladega College,AL,Region 2
Troy University,AL,Region 4
Tuskegee University,AL,Region 3
University of Alabama,AL,Region 2
University of Alabama at Birmingham,AL,Region 2
University of Alabama in Huntsville,AL,Region 2
University of South Alabama,AL,Region 4
Lawson State Community College,AL,Region 2
James H. Faulkner State Community College,AL,Region 4
J. F. Drake State Community and Technical College,AL,Region 4
Shelton State Community College,AL,Region 4
Reid State Technical College,AL,Region 4
Northwest - Shoals Community College,AL,Region 4
George Corley Wallace State Community College - Selma,AL,Region 4
Bevill State Community College,AL,Region 4
H. Councill Trenholm State Technical College,AL,Region 4
George C. Wallace State Community College,AL,Region 4
Auburn University Montgomery,AL,Region 4
Lurleen B. Wallace Community College,AL,Region 4
Concordia College Alabama,AL,Region 4
Chattahoochee Valley Community College,AL,Region 4
United States Sports Academy,AL,Region 4
Heritage Christian University,AL,Region 4
Southeastern Bible College,AL,Region 4
Fortis College,AL,Region 2
Amridge University,AL,Region 2
Virginia College,AL,Region 2
Fortis College,AL,Region 3
Blue Cliff Career College,AL,Region 3
Columbia Southern University,AL,Region 3
University of Arkansas at Monticello,AR,Catchment Area 6
University of Arkansas at Pine Bluff,AR,Catchment Area 6
Arkansas Baptist College,AR,Catchment Area 5
Lyon College,AR,Catchment Area 3
Arkansas Tech University,AR,Catchment Area 6
Arkansas State University,AR,Catchment Area 6
Arkansas State University - Beebe,AR,Catchment Area 6
University of Central Arkansas,AR,Catchment Area 6
Central Baptist College,AR,Catchment Area 3
University of the Ozarks,AR,Catchment Area 6
Crowley's Ridge College,AR,Catchment Area 6
Harding University,AR,Catchment Area 2
Henderson State University,AR,Catchment Area 8
Hendrix College,AR,Catchment Area 2
John Brown University,AR,Catchment Area 3
