,School,Zip Code,School Type,FEDERAL WORK Recipients,FEDERAL WORK $ Federal Award, FEDERAL WORK Disbursements,PERKINS LOAN Recipients,PERKINS LOAN $ Federal Award,PERKINS LOAN Disbursements,FEDERAL SUPPLEMENTAL Recipients,FEDERAL SUPPLEMENTAL $ Federal Award,FEDERAL SUPPLEMENTAL Disbursements,CITY,TuitionAmount,region,State,Substate Region,value,year
0,alaska bible college,99588-0000     ,Private/Non-Profit,10,5000,6933,0,0,0,17,5000,6400,Palmer,10730.0,Northern,Alaska,Northern,0.0644054962,2012.0
1,alaska christian college,99669-9755     ,Private/Non-Profit,8,5000,5000,0,0,0,10,5000,5000,Soldotna,15994.0,Anchorage,Alaska,Anchorage,0.0735313545,2012.0
2,alaska pacific university,99508-4672     ,Private/Non-Profit,39,45110,52175,0,0,0,88,34279,43306,Anchorage,40883.0,South Central,Alaska,South Central,0.0667512009,2012.0
3,charter college,99508-4103     ,Proprietary,86,200000,188703,0,0,0,1093,306747,487503,Vancouver,23557.0,Region 21R,California,Region 21R,0.0685640707,2012.0
5,charter college,91351-5432     ,Proprietary,41,95335,107889,0,0,0,713,126279,160452,Vancouver,23557.0,Region 21R,California,Region 21R,0.0685640707,2012.0
7,ilisagvik college,99723-0749     ,Public,11,27453,23200,0,0,0,27,22224,25165,Barrow,11902.0,Anchorage,Alaska,Anchorage,0.0735313545,2012.0
8,university of alaska anchorage,99508-8050     ,Public,96,327371,249876,0,0,0,1006,335397,522955,Anchorage,14431.0,South Central,Alaska,South Central,0.0667512009,2012.0
9,university of alaska fairbanks,99775-7500     ,Public,70,348116,473049,0,0,0,684,250843,298935,Fairbanks,15568.0,South Central,Alaska,South Central,0.0667512009,2012.0
10,university of alaska southeast,99801-8680     ,Public,21,38641,26777,0,0,0,105,25032,32914,Juneau,14267.0,Southeast,Alaska,Southeast,0.0672737034,2012.0
11,alabama southern community college,36460-5698     ,Public,26,46607,42441,0,0,0,80,40879,40879,Monroeville,10630.0,Region 1,Alabama,Region 1,0.0684407958,2012.0
12,alabama state university,36104-5714     ,Public,794,1505028,1264046,81,0,220100,301,305123,375700,Normal,17351.0,Region 3,Alabama,Region 3,0.0612054452,2012.0
13,alabama state university,36104-5714     ,Public,794,1505028,1264046,81,0,220100,301,305123,375700,Montgomery,17533.0,Region 3,Alabama,Region 3,0.0612054452,2012.0
14,amridge university,36117-3553     ,Private/Non-Profit,0,2463,0,0,0,0,115,10867,10857,Montgomery,11420.0,Region 2,Alabama,Region 2,0.0660446726,2012.0
15,auburn university,36849-5113     ,Public,229,891895,763935,822,0,1533045,585,401139,531534,Auburn,22352.0,Region 3,Alabama,Region 3,0.0612054452,2012.0
16,auburn university montgomery,36117-3596     ,Public,63,175052,130411,157,0,345832,219,112162,150162,Montgomery,15594.0,Region 4,Alabama,Region 4,0.067005474,2012.0
17,auburn university montgomery,36117-3596     ,Public,63,175052,130411,157,0,345832,219,112162,150162,Montgomery,28156.0,Region 4,Alabama,Region 4,0.067005474,2012.0
18,bevill state community college,35148-0000     ,Public,73,141990,142308,0,0,0,252,128918,123218,Jasper,13965.0,Region 4,Alabama,Region 4,0.067005474,2012.0
19,bishop state community college,36603-5898     ,Public,90,208214,175162,0,0,0,188,107494,101519,Mobile,9987.0,Region 4,Alabama,Region 4,0.067005474,2012.0
20,central alabama community college,35010-0000     ,Public,21,70000,48758,0,0,0,160,80000,80000,Alexander City,6726.0,Region 2,Alabama,Region 2,0.0660446726,2012.0
21,central alabama community college,35010-0000     ,Public,21,70000,48758,0,0,0,160,80000,80000,Bay Minette,11195.0,Region 2,Alabama,Region 2,0.0660446726,2012.0
22,chattahoochee valley community college,36869-7917     ,Public,33,70608,77515,0,0,0,71,37051,38700,Phenix City,6740.0,Region 4,Alabama,Region 4,0.067005474,2012.0
23,columbia southern university,36561-3815     ,Proprietary,0,0,0,0,0,0,793,270000,360000,Orange Beach,13333.0,Region 3,Alabama,Region 3,0.0612054452,2012.0
24,concordia college alabama,36701-3323     ,Private/Non-Profit,72,41374,31031,0,0,0,67,41781,52124,Selma,17730.0,Region 4,Alabama,Region 4,0.067005474,2012.0
25,enterprise state community college,36331-1300     ,Public,51,103742,99752,0,0,0,97,60000,60000,Enterprise,9988.0,Region 4,Alabama,Region 4,0.067005474,2012.0
26,faulkner university,36109-3398     ,Private/Non-Profit,237,325000,313660,21,0,70915,288,212205,213052,Montgomery,26908.0,Region 3,Alabama,Region 3,0.0612054452,2012.0
27,fortis college,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,Mobile,14388.0,Region 2,Alabama,Region 2,0.0660446726,2012.0
28,fortis college,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,Mobile,14388.0,Region 3,Alabama,Region 3,0.0612054452,2012.0
29,fortis college,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,Mobile,14388.0,Circuit 10,Florida,Circuit 10,0.0599289688,2012.0
30,fortis college,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,Mobile,14388.0,Circuit 1,Florida,Circuit 1,0.0681321317,2012.0
31,fortis college,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,Mobile,14388.0,Regions 2 and 9,Louisiana,Regions 2 and 9,0.0652548967,2012.0
32,fortis college,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,Mobile,14388.0,"Boards 2, 46, 55, and 68",Ohio,"Boards 2, 46, 55, and 68",0.0744446332,2012.0
33,fortis college,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,Mobile,14388.0,Boards 23 and 45,Ohio,Boards 23 and 45,0.0777054875,2012.0
34,fortis college,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,Mobile,14388.0,Region 6,Texas,Region 6,0.0617497787,2012.0
36,fortis college,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,Montgomery,22500.0,Region 2,Alabama,Region 2,0.0660446726,2012.0
37,fortis college,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,Montgomery,22500.0,Region 3,Alabama,Region 3,0.0612054452,2012.0
