,School,State,Zip Code,School Type,FEDERAL WORK Recipients,FEDERAL WORK $ Federal Award, FEDERAL WORK Disbursements,PERKINS LOAN Recipients,PERKINS LOAN $ Federal Award,PERKINS LOAN Disbursements,FEDERAL SUPPLEMENTAL Recipients,FEDERAL SUPPLEMENTAL $ Federal Award,FEDERAL SUPPLEMENTAL Disbursements,CITY,TuitionAmount,value,year,location
0,9,1,2187,0,9.0,5000.0,6250,0.0,0.0,0.0,15.0,5000.0,6575.0,921,13380.0,0.0512558606,2013.0,11
1,10,1,2188,0,13.0,5000.0,5000,0.0,0.0,0.0,10.0,5000.0,5000.0,1152,18094.0,0.0602928889,2013.0,10
2,11,1,2185,0,32.0,41163.0,54884,0.0,0.0,0.0,55.0,28279.0,37706.0,33,42925.0,0.053347484,2013.0,12
4,776,1,2189,2,9.0,27453.0,23359,0.0,0.0,0.0,21.0,22224.0,20665.0,76,17895.0,0.0602928889,2013.0,10
5,1841,1,2186,2,116.0,324930.0,335502,0.0,0.0,0.0,1133.0,335397.0,445027.0,33,13180.0,0.053347484,2013.0,12
6,1842,1,2190,2,62.0,279195.0,400925,0.0,0.0,0.0,559.0,250843.0,312550.0,395,15035.0,0.053347484,2013.0,12
7,1843,1,2191,2,27.0,37250.0,55516,0.0,0.0,0.0,104.0,25987.0,47067.0,589,16409.0,0.0528212282,2013.0,13
8,7,0,861,2,27.0,40314.0,40314,0.0,0.0,0.0,85.0,37889.0,34165.0,780,10701.0,0.0542254962,2013.0,4
9,8,0,848,2,707.0,1270571.0,933097,33.0,0.0,102011.0,472.0,293522.0,434330.0,859,18888.0,0.0483351449,2013.0,6
10,8,0,848,2,707.0,1270571.0,933097,33.0,0.0,102011.0,472.0,293522.0,434330.0,788,17400.0,0.0483351449,2013.0,6
11,45,0,852,0,0.0,17031.0,0,0.0,0.0,0.0,86.0,15876.0,8500.0,788,12300.0,0.0532399619,2013.0,5
12,94,0,872,2,230.0,896893.0,723311,920.0,0.0,2004583.0,674.0,359008.0,615328.0,58,23788.0,0.0483351449,2013.0,6
13,95,0,853,2,62.0,156978.0,128315,204.0,0.0,490409.0,180.0,98735.0,136735.0,788,16556.0,0.0527178321,2013.0,7
14,95,0,853,2,62.0,156978.0,128315,204.0,0.0,490409.0,180.0,98735.0,136735.0,788,28525.0,0.0527178321,2013.0,7
15,161,0,825,2,53.0,116314.0,113437,0.0,0.0,0.0,209.0,107146.0,105788.0,579,13443.0,0.0527178321,2013.0,7
16,164,0,832,0,221.0,167771.0,210096,155.0,0.0,299975.0,104.0,108094.0,133200.0,118,44167.0,0.0542254962,2013.0,4
17,165,0,863,2,100.0,208214.0,183655,0.0,0.0,0.0,291.0,116151.0,159543.0,773,10059.0,0.0527178321,2013.0,7
18,279,0,821,2,20.0,60100.0,56094,0.0,0.0,0.0,142.0,72993.0,72993.0,14,12103.0,0.0532399619,2013.0,5
19,279,0,821,2,20.0,60100.0,56094,0.0,0.0,0.0,142.0,72993.0,72993.0,83,11921.0,0.0532399619,2013.0,5
20,309,0,873,2,35.0,70608.0,64262,0.0,0.0,0.0,42.0,32310.0,23100.0,946,6800.0,0.0527178321,2013.0,7
21,429,0,868,0,31.0,41374.0,28072,0.0,0.0,0.0,64.0,39576.0,49420.0,1126,17655.0,0.0527178321,2013.0,7
22,569,0,857,2,50.0,103742.0,78026,0.0,0.0,0.0,131.0,54489.0,73200.0,378,10193.0,0.0527178321,2013.0,7
23,589,0,851,0,209.0,309499.0,278180,17.0,0.0,50704.0,269.0,200674.0,199454.0,788,28485.0,0.0483351449,2013.0,6
24,625,0,865,1,33.0,97317.0,94595,0.0,0.0,0.0,545.0,96256.0,133415.0,773,16035.0,0.0532399619,2013.0,5
