,School,Zip Code,School Type,FEDERAL WORK Recipients,FEDERAL WORK $ Federal Award,FEDERAL WORK Disbursements,PERKINS LOAN Recipients,PERKINS LOAN $ Federal Award,PERKINS LOAN Disbursements,FEDERAL SUPPLEMENTAL Recipients,FEDERAL SUPPLEMENTAL $ Federal Award,FEDERAL SUPPLEMENTAL Disbursements,CITY,TuitionAmount,region,State,Substate Region,value,year
0,alaska bible college,  99645-6619    ,Private/Non-Profit,5,5000,6191,0,0,0,9,5000,6575,Palmer,15990.0,Northern,Alaska,Northern,0.0806419118,2014.0
1,alaska christian college,996699755,Private/Non-Profit,10,5000,6667,0,0,0,9,5000,6667,Soldotna,18094.0,Anchorage,Alaska,Anchorage,0.0894000425,2014.0
2,alaska pacific university,995084672,Private/Non-Profit,18,35837,47197,0,0,0,44,27080,39150,Anchorage,42640.0,South Central,Alaska,South Central,0.0832265629,2014.0
3,ilisagvik college,997230749,Public,6,27453,12729,0,0,0,19,22224,29084,Barrow,13676.0,Anchorage,Alaska,Anchorage,0.0894000425,2014.0
4,university of alaska anchorage,995088050,Public,99,351907,319752,0,0,0,527,344615,511671,Anchorage,13610.0,South Central,Alaska,South Central,0.0832265629,2014.0
5,university of alaska fairbanks,997757500,Public,51,348116,330709,0,0,0,524,250843,394296,Fairbanks,15340.0,South Central,Alaska,South Central,0.0832265629,2014.0
6,university of alaska southeast,998018680,Public,40,35192,70384,0,0,0,57,26956,26719,Juneau,15284.0,Southeast,Alaska,Southeast,0.0853243176,2014.0
7,alabama southern community college,364605698,Public,30,38897,37226,0,0,0,84,38677,36654,Monroeville,10708.0,Region 1,Alabama,Region 1,0.0860436275,2014.0
8,alabama state university,361045714,Public,878,1240426,1105514,279,0,663244,330,338537,338537,Normal,21475.0,Region 3,Alabama,Region 3,0.0772246569,2014.0
9,alabama state university,361045714,Public,878,1240426,1105514,279,0,663244,330,338537,338537,Montgomery,18184.0,Region 3,Alabama,Region 3,0.0772246569,2014.0
10,amridge university,361173553,Private/Non-Profit,0,2969,0,0,0,0,75,7834,7146,Montgomery,16370.0,Region 2,Alabama,Region 2,0.0816633991,2014.0
11,auburn university,368495113,Public,206,900000,598534,979,0,2429374,744,380091,702728,Auburn,25282.0,Region 3,Alabama,Region 3,0.0772246569,2014.0
12,auburn university montgomery,361173596,Public,73,186845,158054,154,0,432596,279,128874,233713,Montgomery,17903.0,Region 4,Alabama,Region 4,0.0848186501,2014.0
13,auburn university montgomery,361173596,Public,73,186845,158054,154,0,432596,279,128874,233713,Montgomery,27870.0,Region 4,Alabama,Region 4,0.0848186501,2014.0
14,bevill state community college,351480000,Public,43,105721,96282,0,0,0,203,100458,110197,Jasper,13084.0,Region 4,Alabama,Region 4,0.0848186501,2014.0
15,birmingham-southern college,352540002,Private/Non-Profit,220,167771,227025,231,0,454135,109,108094,135333,Birmingham,45162.0,Region 1,Alabama,Region 1,0.0860436275,2014.0
16,bishop state community college,366035898,Public,102,208214,156375,0,0,0,289,128259,155997,Mobile,9955.0,Region 4,Alabama,Region 4,0.0848186501,2014.0
17,central alabama community college,350100000,Public,17,61033,48748,0,0,0,146,61233,72933,Alexander City,12054.0,Region 2,Alabama,Region 2,0.0816633991,2014.0
18,central alabama community college,350100000,Public,17,61033,48748,0,0,0,146,61233,72933,Bay Minette,11194.0,Region 2,Alabama,Region 2,0.0816633991,2014.0
19,chattahoochee valley community college,368697917,Public,36,70608,68225,0,0,0,85,53417,46200,Phenix City,6860.0,Region 4,Alabama,Region 4,0.0848186501,2014.0
20,columbia southern university,365613815,Proprietary,0,0,0,0,0,0,0,0,0,Orange Beach,12601.0,Region 3,Alabama,Region 3,0.0772246569,2014.0
21,concordia college alabama,367013323,Private/Non-Profit,43,41374,33988,0,0,0,50,36699,47043,Selma,17603.0,Region 4,Alabama,Region 4,0.0848186501,2014.0
22,enterprise state community college,363311300,Public,60,103742,90536,0,0,0,92,58121,59200,Enterprise,8676.0,Region 4,Alabama,Region 4,0.0848186501,2014.0
23,faulkner university,361093398,Private/Non-Profit,209,325000,263779,8,0,34740,291,220402,266918,Montgomery,30116.0,Region 3,Alabama,Region 3,0.0772246569,2014.0
24,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Mobile,25919.0,Region 2,Alabama,Region 2,0.0816633991,2014.0
25,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Mobile,25919.0,Region 3,Alabama,Region 3,0.0772246569,2014.0
26,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Mobile,25919.0,Circuit 10,Florida,Circuit 10,0.0761484133,2014.0
27,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Mobile,25919.0,Circuit 1,Florida,Circuit 1,0.0866223317,2014.0
28,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Mobile,25919.0,Regions 2 and 9,Louisiana,Regions 2 and 9,0.0805184193,2014.0
29,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Mobile,25919.0,"Boards 2, 46, 55, and 68",Ohio,"Boards 2, 46, 55, and 68",0.0915298429,2014.0
30,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Mobile,25919.0,Boards 23 and 45,Ohio,Boards 23 and 45,0.0957418227,2014.0
31,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Mobile,25919.0,Region 6,Texas,Region 6,0.0733139316,2014.0
33,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Montgomery,30031.0,Region 2,Alabama,Region 2,0.0816633991,2014.0
34,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Montgomery,30031.0,Region 3,Alabama,Region 3,0.0772246569,2014.0
35,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Montgomery,30031.0,Circuit 10,Florida,Circuit 10,0.0761484133,2014.0
36,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Montgomery,30031.0,Circuit 1,Florida,Circuit 1,0.0866223317,2014.0
